"Mori Seiki GmbH                                                       "
"Applications Chimiques Maghrebines                                    "
"China Materials Zhao DA                                               "
"Nursan Elektrik Donanim San Ve Tic                                    "
"M/s. Globe Trotters Pvt. Ltd.                                         "
"Ministry of Petroleum and Minerals                                    "
"Saudi Plastic Products Co. Ltd. (SAPPCO)                              "
"National Oil Corporation                                              "
"Allcomex Trading Co. Ltd.                                             "
"Takisawa Machine Tool Co. Ltd.                                        "
"Heracles General Cement Co.                                           "
"Four Union Garment Factory Ltd.                                       "
"Saudi Techint Ltd.                                                    "
"Tae Yang Industrial Co. Ltd.                                          "
"Seoul Yanghaeng Co. Ltd.                                              "
"Iran Hormone road                                                     "
"Karl Kollmann                                                         "
"Agtrol Chemical Products                                              "
"Natwest Bank NJ                                                       "
"Lakshmi Vilas Bank Ltd.                                               "
"Cementos del Archipielgo S.S.                                         "
"Jeddah Cable Co.                                                      "
"FAI S.A.                                                              "
"FAI S.A.                                                              "
"Selected Exports Ltd.                                                 "
"Vehiculos Industriales SA                                             "
"FAI S.A. c/o Motorcomsa SA                                            "
"guaranty trust bank nigeria                                           "
"guaranty trust bank                                                   "
"guaranty trust bank                                                   "
"Commerce International S.A.                                           "
"Domingo Grau S.A.                                                     "
"Hambourg Coffee Company/Hacofco MbH                                   "
"Preston Trading SA                                                    "
"Semaco S.A.                                                           "
"Singer and Friedlander                                                "
"Glencore                                                              "
"Socotec Zambia                                                        "
"BP                                                                    "
"chase manhattan bank                                                  "
"Kotrex Petrol S.A.                                                    "
"Golden China Enterprises ltd                                          "
"ANDRE & CO                                                            "
"ANDRE & CO                                                            "
"Kreenholm Holding Ltd                                                 "
"Lanas Trinidad S.A.                                                   "
"Lanas Trinidad S.A.                                                   "
"GLENCORE                                                              "
"Protona SA(NE PLUS UTILISER)                                          "
"AHC Ltd.                                                              "
"Alain Affelou International                                           "
"Ferrotrade Ltd                                                        "
"Aktis                                                                 "
"Bofill                                                                "
"Guichard                                                              "
"Intimo                                                                "
"Sveve                                                                 "
"Emmedue                                                               "
"Itoc                                                                  "
"Naftomar Shipping & Trading Corp.                                     "
"Naftomar Shipping & Trading Corp.                                     "
"Itoc                                                                  "
"Ets Chaouch Ali                                                       "
"B.B.S. Textiles                                                       "
"Sogeb                                                                 "
"Chemical Industries of Northern Greece SA                             "
"Sulphur Hellas SA                                                     "
"Syel                                                                  "
"Socotec Zimbabwe                                                      "
"Indian Bank                                                           "
"Ideal Flour Mills Ltd                                                 "
"Nigerian Eagle Flour Mill Ltd                                         "
"Port Harcourt Flour Mills Ltd                                         "
"World Marketing Services                                              "
"Lacpol Co Ltd                                                         "
"Hartwig                                                               "
"Clariant GmbH                                                         "
"STIT                                                                  "
"Comptoir Textiles du Centre                                           "
"Aguia Nova Lda                                                        "
"Amanita Milling Zambiana                                              "
"Bureau Veritas                                                        "
"Kamga Negoce                                                          "
"Veritas                                                               "
"ANATEKS                                                               "
"X                                                                     "
"ANATEKS                                                               "
"Shar Trading Est. Branch                                              "
"Al Shahini Cold Store                                                 "
"MOBIL EXPORT CORPORATION                                              "
"C.Steinweg                                                            "
"Phoenixx Int. Resources                                               "
"Phoenixx Int                                                          "
"C.Steinweg                                                            "
"HD Cotterell BV                                                       "
"Phenixx int                                                           "
"G. Volpi & Figli s.r.l.                                               "
"HD Cotterell BV                                                       "
"HD Cotterell BV                                                       "
"Sime Bank Berhad                                                      "
"State Company For Foodstuff Trading                                   "
"State Company For Foodstuff Trading                                   "
"Cornelder                                                             "
"Wilh. Meyer & Cons. Gmbh                                              "
"Cornelder                                                             "
"TURKIYE GARANTI BANKASI A.S.                                          "
"TURKIYE GARANTI BANKASI A.S.                                          "
"State Bank of Saurasthra                                              "
"Karimjee Jivanjee & Co. (U.K.) Ltd.                                   "
"Xinjiang Alashankou Udacha Co., Ltd                                   "
"Bank of Communications                                                "
"REPUBLIC NATIONAL BANK OF NEW YORK                                    "
