MS	20.6	88.3	27.894
AR	23.5	88.9	26.954
WV	23.9	93.9	26.657
LA	25.2	90.9	32.108
AL	29.3	91.4	31.468
OK	29.6	91.6	29.709
NC	29.9	92.7	36.129
KY	30.3	92.3	33.305
SC	31	93.4	34.861
PA	32.2	96.9	36.609
NY	32.4	94.3	36.01
TN	32.9	95	31.06
FL	32.9	92.7	31.9
ND	33	96.5	31.927
SD	33.6	93.6	29.949
IA	33.9	97.8	33.877
IN	33.9	93.8	37.421
NV	34	94.2	39.139
RI	34.5	94.4	36.316
HI	34.6	94.1	41.832
DC	34.8	91.5	32.28
MI	35.1	95	39.434
GA	35.2	91.4	34.953
IL	35.6	90.5	40.873
MT	36.1	93.4	29.277
TX	36.4	91.1	34.453
CT	36.4	92.1	43.535
OH	36.4	94.4	35.493
ME	36.6	96.8	34.132
NE	36.8	96.6	34.743
DE	37.3	95.3	41.622
MO	38.1	93.1	35.802
NM	38.2	87.9	27.874
MA	39.2	95.2	41.212
MN	39.3	97.2	42.248
NJ	39.4	94.2	48.289
WY	39.7	92.3	32.543
AZ	39.8	91.4	32.552
WI	39.9	96.1	40.257
OR	40.9	95.5	36.777
KS	41.7	93.9	34.902
CA	43.2	94.8	39.699
MD	43.8	97.1	45.844
VA	44	94.4	41.534
ID	44.4	92.5	34.455
WA	46.4	95.5	41.04
VT	47.1	94	34.077
NH	50.1	97.1	40.655
CO	52.2	95.7	42.562
UT	52.6	96.3	40.332
AK	55.3	95	50.992
