createDate,active,longName,shortName
2013-08-08T10:34:00,true,Microcar,Micro
2013-08-08T10:34:00,true,City car,City
2013-08-08T10:34:00,true,Supermini,S-Mini
2013-08-08T10:34:00,true,Small family car,Small family
2013-08-08T10:34:00,true,Large family car,Large family
2013-08-08T10:34:00,true,Compact executive car,Compact executive
2013-08-08T10:34:00,true,Executive car,Executive
2013-08-08T10:34:00,true,Luxury car,Luxury
2013-08-08T10:34:00,true,Grand tourer,Grand
2013-08-08T10:34:00,true,Supercar,Super
2013-08-08T10:34:00,true,Convertible,Convertible
2013-08-08T10:34:00,true,Roadster,Roadster
2013-08-08T10:34:00,true,Mini MPV,Mini MPV
2013-08-08T10:34:00,true,Compact MPV,Compact MPV
2013-08-08T10:34:00,true,Large MPV,Large MPV
2013-08-08T10:34:00,true,Mini 4x4,Mini 4x4
2013-08-08T10:34:00,true,Compact SUV,Compact SUV
2013-08-08T10:34:00,true,Large 4x4,Large 4x4
2013-08-08T10:34:00,true,Pick-up,Pick-up
