createDate,active,longName,shortName
2013-08-08T10:34:00,true,Cruise Control,Cruise Control
2013-08-04T10:34:00,true,DVD Video System,DVD
2013-08-04T10:34:00,true,Navigation System,Navigation
2013-08-04T10:34:00,true,4WD,4WD
2013-08-04T10:34:00,true,Seat Heater,Seat Heater
2013-08-04T10:34:00,true,Tow Hitch,Tow Hitch
2013-08-04T10:34:00,true,Third Row Seat,Third Row
2013-08-04T10:34:00,true,Sunroof,Sunroof
2013-08-04T10:34:00,true,Leather Seats,Leather
2013-08-04T10:34:00,true,AM/FM Radio,Radio
2013-08-04T10:34:00,true,Glass Rear Window,Glass Rear
2013-08-04T10:34:00,true,Speed Control,Speed Control
2013-08-04T10:34:00,true,CD Player,CD
2013-08-04T10:34:00,true,MP3 Player,MP3
