country,lastUpdate
Afghanistan,"2006-02-15 04:44:00"
Algeria,"2006-02-15 04:44:00"
"American Samoa","2006-02-15 04:44:00"
Angola,"2006-02-15 04:44:00"
Anguilla,"2006-02-15 04:44:00"
Argentina,"2006-02-15 04:44:00"
Armenia,"2006-02-15 04:44:00"
Australia,"2006-02-15 04:44:00"
Austria,"2006-02-15 04:44:00"
Azerbaijan,"2006-02-15 04:44:00"
Bahrain,"2006-02-15 04:44:00"
Bangladesh,"2006-02-15 04:44:00"
Belarus,"2006-02-15 04:44:00"
Bolivia,"2006-02-15 04:44:00"
Brazil,"2006-02-15 04:44:00"
Brunei,"2006-02-15 04:44:00"
Bulgaria,"2006-02-15 04:44:00"
Cambodia,"2006-02-15 04:44:00"
Cameroon,"2006-02-15 04:44:00"
Canada,"2006-02-15 04:44:00"
Chad,"2006-02-15 04:44:00"
Chile,"2006-02-15 04:44:00"
China,"2006-02-15 04:44:00"
Colombia,"2006-02-15 04:44:00"
"Congo, The Democratic Republic of the","2006-02-15 04:44:00"
"Czech Republic","2006-02-15 04:44:00"
"Dominican Republic","2006-02-15 04:44:00"
Ecuador,"2006-02-15 04:44:00"
Egypt,"2006-02-15 04:44:00"
Estonia,"2006-02-15 04:44:00"
Ethiopia,"2006-02-15 04:44:00"
"Faroe Islands","2006-02-15 04:44:00"
Finland,"2006-02-15 04:44:00"
France,"2006-02-15 04:44:00"
"French Guiana","2006-02-15 04:44:00"
"French Polynesia","2006-02-15 04:44:00"
Gambia,"2006-02-15 04:44:00"
Germany,"2006-02-15 04:44:00"
Greece,"2006-02-15 04:44:00"
Greenland,"2006-02-15 04:44:00"
"Holy See (Vatican City State)","2006-02-15 04:44:00"
"Hong Kong","2006-02-15 04:44:00"
Hungary,"2006-02-15 04:44:00"
India,"2006-02-15 04:44:00"
Indonesia,"2006-02-15 04:44:00"
Iran,"2006-02-15 04:44:00"
Iraq,"2006-02-15 04:44:00"
Israel,"2006-02-15 04:44:00"
Italy,"2006-02-15 04:44:00"
Japan,"2006-02-15 04:44:00"
Kazakstan,"2006-02-15 04:44:00"
Kenya,"2006-02-15 04:44:00"
Kuwait,"2006-02-15 04:44:00"
Latvia,"2006-02-15 04:44:00"
Liechtenstein,"2006-02-15 04:44:00"
Lithuania,"2006-02-15 04:44:00"
Madagascar,"2006-02-15 04:44:00"
Malawi,"2006-02-15 04:44:00"
Malaysia,"2006-02-15 04:44:00"
Mexico,"2006-02-15 04:44:00"
Moldova,"2006-02-15 04:44:00"
Morocco,"2006-02-15 04:44:00"
Mozambique,"2006-02-15 04:44:00"
Myanmar,"2006-02-15 04:44:00"
Nauru,"2006-02-15 04:44:00"
Nepal,"2006-02-15 04:44:00"
Netherlands,"2006-02-15 04:44:00"
"New Zealand","2006-02-15 04:44:00"
Nigeria,"2006-02-15 04:44:00"
"North Korea","2006-02-15 04:44:00"
Oman,"2006-02-15 04:44:00"
Pakistan,"2006-02-15 04:44:00"
Paraguay,"2006-02-15 04:44:00"
Peru,"2006-02-15 04:44:00"
Philippines,"2006-02-15 04:44:00"
Poland,"2006-02-15 04:44:00"
"Puerto Rico","2006-02-15 04:44:00"
Romania,"2006-02-15 04:44:00"
Runion,"2006-02-15 04:44:00"
"Russian Federation","2006-02-15 04:44:00"
"Saint Vincent and the Grenadines","2006-02-15 04:44:00"
"Saudi Arabia","2006-02-15 04:44:00"
Senegal,"2006-02-15 04:44:00"
Slovakia,"2006-02-15 04:44:00"
"South Africa","2006-02-15 04:44:00"
"South Korea","2006-02-15 04:44:00"
Spain,"2006-02-15 04:44:00"
"Sri Lanka","2006-02-15 04:44:00"
Sudan,"2006-02-15 04:44:00"
Sweden,"2006-02-15 04:44:00"
Switzerland,"2006-02-15 04:44:00"
Taiwan,"2006-02-15 04:44:00"
Tanzania,"2006-02-15 04:44:00"
Thailand,"2006-02-15 04:44:00"
Tonga,"2006-02-15 04:44:00"
Tunisia,"2006-02-15 04:44:00"
Turkey,"2006-02-15 04:44:00"
Turkmenistan,"2006-02-15 04:44:00"
Tuvalu,"2006-02-15 04:44:00"
Ukraine,"2006-02-15 04:44:00"
"United Arab Emirates","2006-02-15 04:44:00"
"United Kingdom","2006-02-15 04:44:00"
"United States","2006-02-15 04:44:00"
Venezuela,"2006-02-15 04:44:00"
Vietnam,"2006-02-15 04:44:00"
"Virgin Islands, U.S.","2006-02-15 04:44:00"
Yemen,"2006-02-15 04:44:00"
Yugoslavia,"2006-02-15 04:44:00"
Zambia,"2006-02-15 04:44:00"
