time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-27T04:45:19.560Z,32.0859,48.3618,10,4.5,mb,,63,3.741,0.85,us,us1000ecw9,2018-05-27T05:08:32.040Z,"16km SE of Shush, Iran",earthquake,3.1,1.9,0.074,54,reviewed,us,us
2018-05-27T04:17:05.580Z,-30.503,-178.9143,181.2,4.7,mb,,70,1.517,0.98,us,us1000ecwb,2018-05-27T05:11:31.040Z,"103km N of L'Esperance Rock, New Zealand",earthquake,9.6,7.8,0.066,70,reviewed,us,us
2018-05-27T03:50:51.420Z,-5.3789,152.6719,35,4.9,mb,,89,1.284,0.62,us,us1000ecw4,2018-05-27T05:03:13.040Z,"108km SSW of Taron, Papua New Guinea",earthquake,8,2,0.047,142,reviewed,us,us
2018-05-27T00:12:26.980Z,13.0226,145.1778,35.49,4.9,mb,,63,0.638,0.48,us,us1000ecug,2018-05-27T02:16:38.853Z,"54km ESE of Inarajan Village, Guam",earthquake,7.2,4.6,0.084,44,reviewed,us,us
2018-05-26T23:42:23.750Z,23.0043,94.6075,95.32,4.5,mb,,60,0.997,0.95,us,us1000ecu7,2018-05-27T00:22:39.040Z,"72km SSE of Mawlaik, Burma",earthquake,5.3,7.5,0.101,29,reviewed,us,us
2018-05-26T14:01:34.560Z,37.871,141.7245,51.7,4.7,mb,,138,0.739,1.05,us,us1000ecq2,2018-05-26T19:06:36.378Z,"71km SSE of Ishinomaki, Japan",earthquake,7,6.6,0.05,119,reviewed,us,us
2018-05-26T12:27:28.320Z,6.0192,125.3845,87.02,4.5,mb,,132,5.575,0.92,us,us1000ecpf,2018-05-26T13:07:31.040Z,"4km S of Suyan, Philippines",earthquake,5.3,9.9,0.106,26,reviewed,us,us
2018-05-26T02:15:52.260Z,19.405,-155.281,-0.02,4.9,mw,11,176,0.01183,0.16,hv,hv70195287,2018-05-27T04:05:21.642Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.58,31.61,,6,reviewed,hv,hv
2018-05-26T00:32:40.900Z,-12.7882,45.7246,10,4.9,mb,,58,6.361,0.9,us,us1000ecis,2018-05-26T15:13:14.414Z,"48km E of Pamandzi, Mayotte",earthquake,7.5,1.6,0.09,39,reviewed,us,us
2018-05-25T22:23:44.520Z,-7.4528,128.2579,158.81,5.2,mww,,30,3.059,0.99,us,us1000ecgj,2018-05-26T03:05:42.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,8.2,5.2,0.073,18,reviewed,us,us
2018-05-25T19:09:46.050Z,27.5526,130.1067,21.9,4.6,mb,,60,1.782,1.19,us,us1000ecb1,2018-05-26T16:33:16.040Z,"109km SE of Naze, Japan",earthquake,4.8,5.5,0.081,46,reviewed,us,us
2018-05-25T17:41:53.960Z,10.856,93.6798,140.63,4.6,mb,,98,1.214,0.84,us,us1000ec8d,2018-05-26T15:15:41.040Z,"135km SE of Port Blair, India",earthquake,9.5,7.3,0.068,65,reviewed,us,us
2018-05-25T12:53:46.970Z,7.5325,-73.5991,54.13,4.6,mb,,71,2.764,1.16,us,us1000ebyi,2018-05-25T13:20:30.040Z,"19km NW of Sabana de Torres, Colombia",earthquake,5.2,12.1,0.045,148,reviewed,us,us
2018-05-25T12:13:42.370Z,36.9385,138.5997,10,4.9,mb,,100,0.504,0.97,us,us1000ebxl,2018-05-26T19:11:37.048Z,"22km ENE of Iiyama, Japan",earthquake,4.9,1.8,0.033,285,reviewed,us,us
2018-05-25T10:06:46.610Z,26.4266,127.3469,59.98,4.6,mb,,28,0.923,1.4,us,us1000ebvj,2018-05-25T13:19:10.570Z,"40km NW of Naha-shi, Japan",earthquake,7.1,7.2,0.069,63,reviewed,us,us
2018-05-25T09:32:46.160Z,-12.8327,45.5738,10,5.2,mb,,49,9.098,0.79,us,us1000ebv5,2018-05-25T13:09:02.178Z,"31km E of Pamandzi, Mayotte",earthquake,9.4,1.8,0.057,101,reviewed,us,us
2018-05-25T06:36:04.290Z,-12.8325,45.611,10,5,mb,,54,6.344,0.81,us,us1000ebtm,2018-05-25T08:47:22.853Z,"35km E of Pamandzi, Mayotte",earthquake,8.3,1.9,0.081,49,reviewed,us,us
2018-05-25T05:43:51.510Z,-12.8454,45.5947,10,4.6,mb,,74,6.335,1.23,us,us1000ebtf,2018-05-25T07:26:16.683Z,"34km E of Pamandzi, Mayotte",earthquake,8,1.8,0.122,20,reviewed,us,us
2018-05-25T03:54:23.640Z,51.78,-175.8746,68.72,4.9,mb,,59,1.119,1.33,us,us1000ebsq,2018-05-25T07:25:28.575Z,"55km ESE of Adak, Alaska",earthquake,7,6,0.03,355,reviewed,us,us
